dates,1y_yield,log_soma_nb_mbs_long,log_reserves_plus_rrp,share_onrrp,log_gdp,log_gdpdef,TermSpread,EBP
2008-11-01,0.0104,26.74061984111621,27.174157444734384,0.038161911780187394,30.436259348885574,4.4825795716887376,0.033399999999999999,3.111167348
2008-12-01,0.0046999999999999993,26.74061984111621,27.463666986256381,0.029554320841707057,30.423102776475616,4.479850846022102,0.023899999999999998,3.315378438
2009-01-01,0.0041999999999999997,26.755039447047761,27.480430757296048,0,30.41752563176923,4.482051123500331,0.023900000000000001,2.806551501
2009-02-01,0.0060000000000000001,26.832761722214492,27.275773723981001,0,30.42542677886113,4.485118721341866,0.025700000000000001,3.197473304
2009-03-01,0.0061999999999999998,27.061047305920184,27.380120887569294,0,30.423269696143418,4.483292703089031,0.026099999999999998,2.765120692
2009-04-01,0.0051999999999999998,27.372180695423616,27.505117699039392,0,30.424789800002795,4.481211263018831,0.027700000000000002,2.26863334
2009-05-01,0.0047999999999999996,27.558025332755616,27.528766881889791,0,30.420200085716843,4.480019909859257,0.031099999999999999,1.372162367
2009-06-01,0.0048999999999999998,27.641022435580776,27.419929645638479,0,30.415864648715605,4.484244241160945,0.035400000000000001,0.938560468
2009-07-01,0.0045999999999999999,27.746814083824109,27.403492966296515,0,30.418526580673504,4.482713874209919,0.033799999999999997,0.334089462
2009-08-01,0.0044000000000000003,27.845972402086058,27.443124044801408,0,30.423508685541446,4.4828634897221376,0.034200000000000001,0.067151635
2009-09-01,0.0038,27.936019197189975,27.55046160807013,0,30.4293272775774,4.4834640325840045,0.032800000000000003,0.072318327
2009-10-01,0.0034999999999999996,28.006332124640974,27.686171960393395,0,30.432780886849077,4.484873425800547,0.0332,-0.131844665
2009-11-01,0.0028999999999999998,28.049686877424936,27.763451903109036,0,30.43534636741254,4.486565712382337,0.033500000000000002,0.007396902
2009-12-01,0.0034999999999999996,28.096596329198427,27.762584322945866,0.00018411201024013467,30.43551557427703,4.487077520834307,0.035400000000000001,-0.476466519
2010-01-01,0.0032000000000000002,28.139493673404235,27.737540959306219,0,30.438976322375268,4.487750826065338,0.036699999999999997,-0.181661927
2010-02-01,0.0033,28.167628661211481,27.834370039914578,0,30.438098525595436,4.488877959983728,0.035800000000000005,0.018033531
2010-03-01,0.0037000000000000002,28.19739084457197,27.800341860545252,0,30.441067931128195,4.490491663008653,0.035799999999999998,-0.141237573
2010-04-01,0.0041999999999999997,28.220364207858367,27.742025673971458,0,30.442581094582785,4.493115565476173,0.036900000000000002,-0.257657877
2010-05-01,0.0034999999999999996,28.229343336446018,27.736551617138012,0,30.4521782237369,4.494072223371644,0.032600000000000004,-0.117689887
2010-06-01,0.0030000000000000001,28.236624668787673,27.725603758414497,0,30.452242960828784,4.494555325561005,0.030800000000000001,0.064172742
2010-07-01,0.0028000000000000004,28.237656794540516,27.715178423935271,0,30.453793716665377,4.496035557759044,0.028499999999999998,0.201216199
2010-08-01,0.0025000000000000001,28.234177667750551,27.712859134144182,0.00016585581601061478,30.456475191291574,4.496787812661607,0.025400000000000002,-0.268385905
2010-09-01,0.0025000000000000001,28.232938908913845,27.677809277427308,0,30.459799015038907,4.498025709363064,0.024999999999999998,0.024816242
2010-10-01,0.0022000000000000001,28.235103585578173,27.669953325930337,0,30.45960502428418,4.50079351370164,0.0241,0.027921408
2010-11-01,0.0023999999999999998,28.243175679460553,27.66889476835663,0,30.4602351813356,4.502524933160528,0.026200000000000001,-0.105878179
2010-12-01,0.0028000000000000004,28.278960134283206,27.706128588415353,0,30.465936685999154,4.504893446017501,0.0315,-0.392207718
